type,title,overview,tmdb_id,imdb_id,provider,release_date,tmdb_rating,popularity,poster_path,genres,imdb_rating,imdb_votes
Movie,The Old Guard 2,Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.,846422,tt14961624,Netflix,2025-07-01,6.13,470.299,/wqfu3bPLJaEWJVk3QOm0rKhxf1A.jpg,"Action, Fantasy",N/A,N/A
Movie,Ziam,"In a fight for survival against a horrifying army of zombies, a former Muay Thai fighter must use skill, speed and grit to save his girlfriend.",1429744,tt35669009,Netflix,2025-07-09,6.894,233.4119,/7ZRXha6VZEGP3C8Kab7pPwSMzDZ.jpg,"Horror, Thriller, Action",N/A,N/A
Movie,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",803796,tt14205554,Netflix,2025-06-20,8.622,200.8513,/43c1efKzA1kigNzY0HBzeoXp8LR.jpg,"Animation, Fantasy, Action, Comedy, Music",7.9,"1,709"
Movie,Almost Cops,"When an overeager community officer and a reckless ex-detective are forced to team up, plenty of chaos ensues on the streets of Rotterdam.",1374534,tt27675583,Netflix,2025-07-10,5.618,191.1368,/7bcndiaTgu1Kj5a6qyCmsWYdtI.jpg,"Action, Comedy, Crime, Mystery",N/A,N/A
Movie,Brick,"When a mysterious brick wall encloses their apartment building overnight, Tim and Olivia must unite with their wary neighbors to get out alive.",1425045,tt31806049,Netflix,2025-07-09,5.633,80.9658,/vTX9CxFNEQOlfXsgqec7xmc5UtD.jpg,"Science Fiction, Thriller",N/A,N/A
Movie,STRAW,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,1426776,tt32550101,Netflix,2025-06-05,7.922,67.9465,/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg,"Thriller, Drama, Crime",N/A,"7,916"
Movie,Madea's Destination Wedding,Madea packs her best floral dresses and a whole lot of chaos when the Simmons family heads to the Bahamas for her grandniece's whirlwind wedding.,1246310,tt33299083,Netflix,2025-07-10,7.2,59.6576,/jwMwRucnAROgWo9WLLmIqzHmmzi.jpg,"Comedy, Drama",N/A,N/A
Movie,The Old Guard,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,547016,tt7556122,Netflix,2020-07-09,7.1,53.4825,/cjr4NWURcVN3gW5FlHeabgBHLrY.jpg,"Action, Fantasy",6.7,"193,666"
Movie,Squid Game in Conversation,"Take a seat with the director and cast of Squid Game. Discover key moments, hear untold stories and see what this entire journey meant to them.",1504735,tt37455270,Netflix,2025-06-26,8.8,50.2198,/wwqUmwS4zBIpE5mSlkBXp8zSPud.jpg,Documentary,N/A,N/A
Movie,K.O.,"A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille.",1450599,tt36240772,Netflix,2025-06-05,6.574,48.6439,/qcM2sUiAeP4zXwx4ADSvgc9S58k.jpg,"Action, Drama, Adventure",5.8,"2,535"
